9395, 558, -195
9428, 550, -147
9492, 472, -70
9513, 462, -52
9525, 439, 23
9547, 413, 65
9602, 407, 154
9631, 380, 180
9656, 434, 264
9721, 381, 308
9675, 406, 355
9745, 413, 368
9770, 401, 422
9779, 392, 472
9806, 360, 497
9836, 311, 524
9828, 343, 564
9844, 338, 565
9872, 352, 528
9901, 353, 527
9877, 397, 544
9882, 403, 552
9885, 398, 537
9888, 435, 524
9851, 412, 534
9920, 413, 539
9891, 442, 532
9918, 445, 555
9921, 416, 555
9920, 469, 548
9917, 460, 472
9899, 536, 418
9913, 529, 468
9932, 569, 420
9896, 537, 454
9880, 610, 457
9895, 591, 416
9865, 626, 368
9871, 688, 341
9841, 746, 363
9823, 741, 276
9757, 767, 232
9752, 838, 141
9695, 825, 158
9675, 876, 87
9637, 887, 91
9607, 869, -26
9585, 868, -70
9546, 921, -153
9522, 932, -191
9470, 953, -206
9477, 942, -273
9396, 966, -273
9424, 949, -253
9397, 968, -336
9383, 956, -358
9347, 977, -410
9349, 920, -380
9334, 913, -451
9330, 924, -431
9327, 908, -443
9299, 904, -453
9258, 883, -442
9276, 909, -455
9257, 882, -438
9287, 858, -447
9265, 859, -428
9263, 819, -470
9317, 779, -446
9244, 798, -479
9271, 752, -410
9260, 749, -400
9227, 734, -359
9261, 733, -408
9262, 738, -467
9249, 747, -417
9240, 692, -364
9258, 712, -366
9233, 684, -385
9265, 689, -383
9232, 670, -364
9254, 637, -317
9214, 622, -371
9219, 596, -365
9211, 634, -377
9238, 559, -334
9225, 567, -354
9220, 538, -301
9231, 562, -277
9227, 516, -310
9259, 522, -294
9212, 523, -272
9203, 476, -191
9213, 482, -191
9254, 464, -180
9241, 410, -95
9232, 436, -215
9284, 388, -127
9280, 422, -121
9311, 462, -81
9356, 440, -35
9379, 372, 26
9404, 415, -18
9423, 372, -1
9449, 366, -21
9486, 381, 160
9475, 356, 129
9465, 333, 154
9484, 353, 181
9564, 333, 198
9582, 319, 224
9604, 322, 265
9596, 281, 300
9617, 274, 392
9606, 274, 336
9628, 281, 432
9658, 252, 480
9691, 280, 517
9706, 289, 570
9776, 223, 608
9768, 238, 615
9767, 224, 673
9788, 181, 727
9825, 197, 786
9796, 185, 750
9796, 184, 732
9808, 174, 856
9815, 153, 904
9823, 134, 928
9841, 128, 937
9853, 105, 995
9875, 104, 974
9847, 143, 1005
9874, 108, 1028
9901, 117, 961
9888, 128, 943
9916, 98, 929
9933, 139, 977
9933, 159, 993
9961, 162, 973
9947, 179, 948
9937, 185, 886
9960, 165, 967
9973, 183, 925
9976, 189, 929
9963, 237, 996
9990, 233, 884
9972, 237, 868
9958, 223, 849
9937, 229, 843
9971, 241, 861
9979, 250, 810
10002, 309, 810
9975, 267, 774
9959, 294, 749
9976, 337, 733
9959, 355, 720
9951, 312, 769
9941, 363, 706
9934, 390, 703
9958, 417, 727
9974, 416, 636
9978, 411, 655
9951, 420, 721
9967, 430, 670
9968, 442, 652
9947, 445, 613
9966, 476, 613
9985, 474, 660
9973, 501, 594
9933, 489, 633
9964, 531, 654
9908, 504, 542
9956, 533, 573
9926, 544, 556
9891, 616, 490
9873, 619, 480
9876, 643, 438
9857, 651, 438
9821, 731, 341
9767, 729, 299
9780, 746, 300
9751, 780, 215
9736, 798, 206
9660, 858, 191
9674, 860, 105
9604, 858, 16
9601, 883, 45
9592, 843, -26
9560, 892, 7
9578, 911, 4
9571, 938, -8
9543, 921, -90
9485, 977, -66
9447, 956, -181
9445, 919, -216
9407, 988, -264
9378, 987, -299
9362, 940, -271
9330, 975, -324
9318, 970, -390
9337, 969, -406
9332, 965, -413
9279, 956, -407
9253, 954, -391
9299, 913, -392
9271, 902, -386
9248, 897, -413
9271, 887, -424
9300, 858, -356
9293, 820, -370
9293, 793, -321
9325, 793, -303
9334, 766, -330
9373, 768, -292
9381, 730, -276
9384, 678, -256
9456, 653, -195
9448, 656, -125
9511, 615, -82
9546, 607, 4
9597, 566, 46
9614, 555, 97
9657, 525, 109
9662, 537, 197
9745, 477, 314
9751, 438, 332
9751, 430, 375
9773, 408, 443
9808, 393, 491
9812, 386, 544
9871, 378, 564
9905, 342, 567
9906, 350, 646
9905, 312, 683
9922, 301, 678
9930, 286, 687
9948, 257, 813
9930, 236, 788
9926, 175, 867
9952, 185, 960
9936, 155, 953
9952, 172, 1003
9917, 174, 1083
9967, 106, 1048
9939, 110, 1050
9972, 115, 1145
9948, 61, 1161
9949, 77, 1136
9928, 48, 1113
9948, 75, 1171
9935, 73, 1134
9904, 130, 1168
9850, 132, 1011
9860, 129, 1039
9836, 143, 1010
9794, 163, 883
9800, 147, 882
9787, 183, 789
9767, 201, 736
9761, 253, 662
9694, 264, 641
9692, 264, 552
9644, 285, 443
9614, 292, 509
9635, 282, 363
9601, 308, 414
9575, 305, 346
9596, 289, 258
9552, 331, 233
9471, 302, 202
9470, 352, 175
9466, 329, 190
9401, 357, 134
9433, 387, 54
9404, 367, -17
9414, 347, -38
9405, 366, -27
9367, 405, -90
9369, 425, -97
9393, 413, -137
9364, 462, -157
9371, 441, -137
9340, 451, -163
9293, 499, -218
9316, 536, -161
9344, 536, -214
9333, 525, -229
9339, 546, -248
9347, 547, -236
9325, 583, -264
9382, 564, -257
9394, 545, -235
9409, 569, -203
9444, 528, -100
9478, 554, -116
9522, 495, -45
9531, 540, 4
9586, 521, 29
9576, 523, 71
9632, 493, 234
