-143, 273, -16464,
-322, 329, -16410,
-397, 291, -16615,
372, 1007, -15370,
3078, 1788, -16632,
3786, 1518, -15875,
4088, 983, -16088,
4765, 42, -16379,
4959, 79, -14850,
5116, -371, -15008,
4991, -1585, -15908,
5179, -1820, -15147,
4749, -2475, -15868,
4458, -2639, -15257,
4270, -3387, -15813,
3923, -3565, -15642,
3593, -4082, -15421,
3001, -4101, -15602,
2620, -4050, -15517,
2401, -4511, -15616,
2058, -4441, -15641,
1285, -4583, -15197,
1442, -4627, -15524,
461, -4669, -15549,
476, -4776, -15433,
-170, -4596, -15356,
-585, -4507, -15845,
-1127, -3799, -15592,
-1438, -4153, -16165,
-1760, -3869, -16343,
-1886, -3589, -15586,
-2145, -3402, -16163,
-2560, -2908, -16499,
-2922, -2205, -15896,
-2816, -1746, -15518,
-2234, -1855, -16792,
-1602, -866, -16291,
-1408, -1102, -16481,
-970, -1178, -16098,
-598, -1235, -16585,
-595, -1238, -16270,
-333, -1115, -16122,
-607, -1283, -15890,
-400, -1452, -16147,
-129, -927, -15981,
-338, -1387, -16448,
-363, -1053, -16549,
-336, -924, -16126,
191, -1230, -16596,
-27, -1092, -16596,
465, -818, -15878,
150, -1004, -16299,
247, -817, -16693,
226, -398, -16396,
-101, -612, -15767,
-27, -465, -16187,
94, -962, -16276,
-38, -824, -15289,
30, -1157, -17233,
450, -819, -16461,
411, -140, -16109,
583, -656, -15606,
553, -502, -15758,
359, -135, -16098,
44, -142, -15748,
513, -453, -16402,
776, -467, -15845,
915, -129, -16367,
395, -441, -16248,
156, -571, -16073,
675, -199, -16366,
383, -461, -16164,
613, -675, -16305,
67, -1199, -17703,
-170, -875, -16656,
146, -234, -16105,
-85, -679, -16631,
-359, -630, -16381,
-98, -217, -16990,
104, -220, -16406,
-166, -600, -15963,
-147, -471, -16273,
66, -334, -16144,
-194, -1312, -16459,
-119, -708, -16772,
-492, -313, -16132,
-670, -465, -16391,
-84, -74, -16506,
-886, -567, -16155,
-872, -723, -16719,
-441, -590, -16272,
-289, -699, -16633,
-1157, -1120, -16423,
-797, -944, -16144,
-950, -905, -16794,
-769, -899, -16278,
-1189, -597, -16658,
-1638, -452, -16506,
-1531, -428, -16377,
-1248, -209, -16520,
-1292, -218, -16471,
-1250, 38, -16022,
-1834, -411, -16245,
-1030, -69, -16082,
-1054, -315, -16313,
-872, -819, -17087,
-543, -534, -16813,
-274, -486, -15908,
-37, 267, -16463,
