2595, -2914, 15501, 
2621, -2907, 15488, 
2671, -2904, 15443, 
2695, -2949, 15470, 
2723, -2947, 15472, 
2671, -2926, 15531, 
2771, -2958, 15519, 
2741, -2964, 15246, 
2677, -3012, 15471, 
2702, -2914, 15440, 
2750, -2908, 15438, 
2648, -2938, 15403, 
2659, -2871, 15430, 
2806, -2679, 15423, 
2815, -2957, 15509, 
3126, -3068, 15302, 
2905, -2795, 15372, 
2706, -2771, 15427, 
2746, -2992, 15434, 
3148, -2611, 15104, 
3464, -1754, 15646, 
2733, -2798, 15519, 
2616, -2855, 15481, 
3025, -2488, 15446, 
2668, -2892, 15490, 
2808, -2913, 15529, 
2594, -2726, 15552, 
2586, -2676, 15607, 
2544, -2648, 15550, 
3059, -2240, 14916, 
2424, -2561, 15545, 
2691, -2379, 15610, 
2551, -2503, 15635, 
2447, -2335, 15471, 
1924, -2533, 15814, 
2488, -1976, 15773, 
1715, -2135, 15994, 
3050, -2106, 15395, 
1769, -2054, 15640, 
2024, -3097, 16348, 
1484, -2273, 16256, 
2334, -2241, 15538, 
2294, -2435, 15569, 
2074, -2616, 15631, 
2638, -2730, 15459, 
3076, -3201, 15462, 
3075, -3276, 15316, 
3286, -3553, 15282, 
3603, -4000, 15022, 
3588, -3961, 15164, 
3571, -4497, 15462, 
3759, -3921, 14969, 
3366, -4060, 14899, 
3643, -3945, 14820, 
3758, -4072, 14906, 
3777, -4025, 14932, 
3720, -4139, 15040, 
3563, -4004, 14977, 
3659, -3981, 14945, 
3573, -3827, 15002, 
3295, -3504, 15161, 
3204, -3526, 15229, 
3012, -3483, 15327, 
2919, -3345, 15251, 
2968, -3476, 15234, 
3125, -3449, 15301, 
2731, -3834, 15388, 
2921, -3420, 15328, 
3825, -4058, 14873, 
4788, -4236, 13919, 
4038, -4605, 14702, 
4229, -4702, 14586, 
4456, -4539, 14524, 
4996, -4042, 14751, 
3960, -4675, 14697, 
3990, -4535, 14825, 
3490, -4164, 15015, 
3324, -3792, 15082, 
3042, -3455, 15264, 
2815, -3304, 15248, 
2519, -2876, 15532, 
2233, -2532, 15736, 
1999, -2110, 15765, 
1810, -1903, 15786, 
1574, -1654, 15866, 
1344, -1440, 15936, 
1239, -510, 16291, 	
1363, -295, 15926, 	
225, -1502, 16252, 	
296, -1215, 16063, 	
344, -408, 16111, 	
220, -492, 16083, 	
353, -373, 16052, 	
450, -10, 16299, 	
15, -384, 15658, 	
-30, -1750, 16238, 	
416, -17, 16036, 	
73, 268, 16419, 	
-286, 384, 16297, 	
-575, 1329, 14200, 	
194, 236, 16011, 	
-258, 572, 16031, 	
-91, 443, 16180, 	
-23, 580, 16105, 	
-668, 817, 16041, 	
-517, 632, 16023, 	
-315, 52, 15795, 	
288, 495, 16181, 	
114, 319, 16167, 	
407, 87, 16153, 	
442, -447, 16089, 	
1778, -1608, 15842, 
1971, -2399, 15676, 
2063, -2129, 15714, 
2143, -2305, 15747, 
2215, -2262, 15677, 
2138, -2328, 15735, 
2342, -2297, 15648, 
2321, -2443, 15636, 
2203, -2432, 15646, 
1202, -3113, 15668, 
2186, -2340, 15414, 
2189, -2371, 15670, 
2587, -1578, 15860, 
