1743, -10844, -9231
1736, -10877, -9261
1692, -10856, -9166
1646, -10866, -9231
1633, -10869, -9187
1612, -10907, -9212
1585, -10895, -9103
1544, -10928, -9070
1510, -10933, -8980
1454, -10972, -8907
1420, -10978, -8861
1395, -11041, -8841
1364, -11019, -8809
1337, -11028, -8811
1294, -11069, -8698
1294, -11080, -8623
1257, -11086, -8659
1211, -11056, -8587
1215, -11091, -8577
1185, -11095, -8551
1208, -11111, -8539
1174, -11124, -8488
1122, -11157, -8400
1132, -11131, -8400
1074, -11124, -8368
1081, -11126, -8276
1037, -11149, -8250
1015, -11155, -8247
958, -11164, -8181
975, -11163, -8173
970, -11170, -8168
933, -11175, -8165
906, -11198, -8109
903, -11203, -8062
904, -11193, -8141
919, -11199, -8138
918, -11174, -8092
896, -11219, -8070
884, -11215, -8046
915, -11221, -8046
844, -11177, -8095
815, -11196, -8076
849, -11170, -7990
842, -11161, -8005
847, -11142, -8013
837, -11141, -7960
842, -11185, -8009
823, -11174, -8009
806, -11159, -7985
811, -11171, -8057
786, -11200, -7997
778, -11189, -7972
806, -11209, -8002
805, -11164, -7952
777, -11154, -7951
803, -11141, -8009
779, -11159, -7890
772, -11129, -7987
776, -11124, -7988
778, -11174, -7932
796, -11145, -7974
772, -11169, -7966
761, -11106, -7970
784, -11117, -7949
756, -11090, -7999
799, -11097, -8049
742, -11127, -8015
756, -11136, -7998
770, -11120, -8012
753, -11107, -7956
711, -11124, -7986
730, -11115, -7963
722, -11065, -8008
712, -11099, -7921
675, -11076, -7958
683, -11065, -7914
644, -11113, -7932
687, -11116, -7948
679, -11113, -7879
657, -11112, -7866
623, -11141, -7855
632, -11103, -7849
678, -11132, -7865
690, -11140, -7811
710, -11164, -7856
768, -11173, -7920
770, -11198, -7892
779, -11162, -7913
742, -11180, -7833
717, -11143, -7873
797, -11191, -7847
806, -11195, -7910
830, -11152, -7925
863, -11124, -7956
810, -11160, -7981
830, -11149, -7974
824, -11143, -7923
833, -11159, -7853
791, -11144, -7947
837, -11138, -7940
846, -11139, -7987
845, -11123, -7930
836, -11111, -7946
869, -11158, -7984
913, -11144, -7985
935, -11100, -8055
937, -11108, -8091
957, -11116, -8040
979, -11080, -8048
972, -11115, -8083
983, -11105, -8091
971, -11089, -8086
975, -11089, -8126
962, -11082, -8072
948, -11081, -8100
865, -11086, -7958
871, -11088, -7953
960, -11064, -8045
1058, -11125, -8093
1082, -11147, -8218
1103, -11124, -8361
1157, -11129, -8477
1241, -11075, -8461
1285, -11071, -8563
1310, -11048, -8596
1315, -10995, -8680
1379, -11000, -8741
1466, -11019, -8789
1475, -10991, -8872
1550, -10919, -8858
1580, -10891, -8936
1624, -10915, -8985
1652, -10895, -9011
1653, -10870, -9057
1665, -10869, -9063
1695, -10852, -9162
1772, -10842, -9172
1799, -10792, -9210
1837, -10730, -9306
1834, -10689, -9294
1910, -10669, -9364
1900, -10672, -9396
1945, -10708, -9397
2012, -10642, -9459
2047, -10631, -9484
2070, -10614, -9404
2082, -10593, -9449
2093, -10617, -9534
2107, -10578, -9578
2106, -10568, -9552
2129, -10554, -9544
2172, -10532, -9607
2152, -10581, -9595
2126, -10527, -9547
2099, -10550, -9526
2099, -10564, -9525
2056, -10558, -9544
2061, -10534, -9576
2063, -10583, -9608
2047, -10598, -9593
1976, -10572, -9590
1980, -10633, -9561
1986, -10611, -9577
1982, -10642, -9592
1952, -10591, -9577
1948, -10647, -9562
1959, -10662, -9578
1935, -10628, -9587
1935, -10658, -9534
1900, -10641, -9552
1881, -10601, -9530
1911, -10659, -9514
1859, -10657, -9503
1832, -10667, -9554
1846, -10632, -9531
1865, -10644, -9495
1835, -10668, -9486
1821, -10682, -9485
1751, -10651, -9489
1755, -10648, -9472
1760, -10644, -9479
1765, -10676, -9466
1737, -10642, -9455
1696, -10648, -9462
1731, -10658, -9392
1685, -10649, -9400
1697, -10644, -9361
1656, -10637, -9438
1681, -10629, -9407
1669, -10619, -9380
1660, -10605, -9375
1664, -10602, -9400
1681, -10621, -9372
1610, -10599, -9393
1623, -10634, -9295
1550, -10625, -9291
1546, -10676, -9256
1547, -10661, -9212
1471, -10699, -9119
1412, -10750, -9091
1353, -10757, -8987
1271, -10808, -8914
1235, -10848, -8804
1163, -10881, -8735
1168, -10892, -8682
1107, -10892, -8612
1056, -10904, -8577
1077, -10905, -8539
993, -10911, -8474
966, -10951, -8434
931, -10947, -8367
865, -10944, -8270
819, -10978, -8223
850, -11004, -8160
806, -11014, -8100
789, -11068, -8131
729, -11004, -8041
728, -11046, -8009
706, -11027, -7939
698, -11032, -7909
668, -11066, -7936
629, -11059, -7792
635, -11042, -7747
603, -11063, -7791
647, -11054, -7773
650, -11070, -7789
640, -11072, -7818
645, -11101, -7779
678, -11116, -7887
635, -11140, -7894
659, -11133, -7872
713, -11149, -7934
744, -11178, -7899
691, -11186, -7868
732, -11160, -7907
783, -11145, -7960
811, -11128, -8011
857, -11162, -8076
840, -11144, -8124
927, -11160, -8126
956, -11111, -8187
976, -11118, -8315
1037, -11123, -8384
1109, -11116, -8440
1146, -11104, -8513
1180, -11083, -8587
1220, -11056, -8636
1270, -11028, -8712
1286, -10976, -8749
1364, -10968, -8750
1437, -10938, -8918
1421, -10926, -8904
1434, -10918, -8948
1536, -10900, -8996
1527, -10875, -9024
1554, -10910, -9094
1557, -10901, -9094
1553, -10856, -9096
1568, -10808, -9143
1561, -10845, -9080
1538, -10843, -9126
1561, -10805, -9168
1538, -10772, -9147
1579, -10795, -9161
1554, -10800, -9113
1546, -10787, -9197
1547, -10758, -9161
1564, -10750, -9186
1532, -10744, -9169
1538, -10715, -9173
1537, -10756, -9089
1522, -10805, -9087
1458, -10797, -9054
1373, -10792, -8944
1338, -10899, -8897
1236, -10904, -8766
1156, -10920, -8724
1089, -10962, -8601
1046, -10959, -8519
972, -10968, -8433
928, -10963, -8313
849, -10995, -8255
809, -11014, -8210
795, -11037, -8162
779, -11058, -8040
742, -11054, -7964
691, -11043, -7999
692, -11070, -7877
689, -11110, -7937
695, -11083, -7890
690, -11104, -7890
700, -11145, -7909
705, -11114, -7901
705, -11132, -7876
722, -11126, -7943
708, -11135, -7905
699, -11138, -7914
685, -11135, -7873
735, -11141, -7867
748, -11056, -7925
756, -11163, -7933


